"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/[eventId]/moments/page.tsx", "TypeScript JSX", 0, 0, 324, 0, 16, 25, 365
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/[eventId]/page.tsx", "TypeScript JSX", 0, 0, 642, 0, 18, 33, 693
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/[eventId]/review/page.tsx", "TypeScript JSX", 0, 0, 433, 0, 14, 32, 479
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/[eventId]/tickets/[ticketId]/edit/page.tsx", "TypeScript JSX", 0, 0, 435, 0, 19, 36, 490
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/[eventId]/tickets/page.tsx", "TypeScript JSX", 0, 0, 748, 0, 40, 59, 847
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/create/details/page.tsx", "TypeScript JSX", 0, 0, 501, 0, 41, 41, 583
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/create/merch/page.tsx", "TypeScript JSX", 0, 0, 467, 0, 13, 36, 516
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/create/tickets/page.tsx", "TypeScript JSX", 0, 0, 737, 0, 21, 55, 813
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/events/page.tsx", "TypeScript JSX", 0, 0, 198, 0, 8, 19, 225
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/layout.tsx", "TypeScript JSX", 0, 0, 26, 0, 6, 5, 37
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/pieces/new/page.tsx", "TypeScript JSX", 0, 0, 734, 0, 30, 44, 808
